SLURM NODE: kn083
[I 2026-03-01 05:47:25,785] Using an existing study with name 'Ohsumed-Sliding_windows' instead of creating a new one.
Unbound optimization already completed.

[UPDATE] Unbound limits: {'batch_size': (np.int64(64), np.int64(128)), 'window_size': (np.int64(2), np.int64(4)), 'attention_heads': (np.int64(2), np.int64(6)), 'hidden_dimension': (np.int64(32), np.int64(64)), 'number_of_hidden_layers': (np.int64(0), np.int64(2)), 'dropout_rate': (np.float64(0.2), np.float64(0.4)), 'learning_rate': (np.float64(0.0001), np.float64(0.001)), 'weight_decay': (np.float64(1e-06), np.float64(0.001))}
[I 2026-03-01 05:47:26,798] Using an existing study with name 'Ohsumed-Sliding_windows-unbound' instead of creating a new one.
Last trial state: 0
Enqueuing hyper-parameters: {'batch_size': 96, 'window_size': 4, 'attention_heads': 2, 'hidden_dimension': 48, 'number_of_hidden_layers': 1, 'dropout_rate': 0.20929008254399956, 'learning_rate': 0.0004050837781329676, 'weight_decay': 3.247673570627449e-06}
[I 2026-03-01 17:10:19,511] Trial 21 finished with value: 0.6538966020417273 and parameters: {'batch_size': 128, 'window_size': 2, 'attention_heads': 4, 'hidden_dimension': 56, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2153959819657586, 'learning_rate': 0.00019487290213568488, 'weight_decay': 3.0455368715396793e-06}. Best is trial 2 with value: 0.6661759372894271.
[I 2026-03-01 18:12:38,922] Trial 22 finished with value: 0.6416696373332249 and parameters: {'batch_size': 128, 'window_size': 4, 'attention_heads': 5, 'hidden_dimension': 60, 'number_of_hidden_layers': 2, 'dropout_rate': 0.23731401177720718, 'learning_rate': 0.0007808345085542411, 'weight_decay': 4.149795789891592e-05}. Best is trial 2 with value: 0.6661759372894271.
[I 2026-03-01 19:14:01,296] Trial 23 finished with value: 0.6542683104466736 and parameters: {'batch_size': 120, 'window_size': 4, 'attention_heads': 3, 'hidden_dimension': 35, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2854215577252513, 'learning_rate': 0.0006576801979658926, 'weight_decay': 0.00038211294416912254}. Best is trial 2 with value: 0.6661759372894271.
[I 2026-03-01 20:16:33,346] Trial 24 finished with value: 0.6586767664943808 and parameters: {'batch_size': 128, 'window_size': 2, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3240499754412928, 'learning_rate': 0.000173479247130605, 'weight_decay': 1.0291406858330274e-06}. Best is trial 2 with value: 0.6661759372894271.
[I 2026-03-01 21:17:44,509] Trial 25 finished with value: 0.6494346261583231 and parameters: {'batch_size': 128, 'window_size': 3, 'attention_heads': 4, 'hidden_dimension': 35, 'number_of_hidden_layers': 1, 'dropout_rate': 0.37132635108377154, 'learning_rate': 0.0004456095538349776, 'weight_decay': 0.0007326695301403836}. Best is trial 2 with value: 0.6661759372894271.
[I 2026-03-01 22:18:22,568] Trial 26 finished with value: 0.6645308590783964 and parameters: {'batch_size': 128, 'window_size': 3, 'attention_heads': 4, 'hidden_dimension': 34, 'number_of_hidden_layers': 1, 'dropout_rate': 0.39363542163351894, 'learning_rate': 0.00033972357567644277, 'weight_decay': 2.792549182325877e-05}. Best is trial 2 with value: 0.6661759372894271.
[I 2026-03-01 23:18:26,096] Trial 27 finished with value: 0.6551208164567509 and parameters: {'batch_size': 112, 'window_size': 2, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.26029115719453105, 'learning_rate': 0.0004405666578573306, 'weight_decay': 1.3025441861581466e-05}. Best is trial 2 with value: 0.6661759372894271.
[I 2026-03-02 00:21:42,047] Trial 28 finished with value: 0.632904746620377 and parameters: {'batch_size': 128, 'window_size': 3, 'attention_heads': 3, 'hidden_dimension': 41, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3833931387138802, 'learning_rate': 0.00015460239604565894, 'weight_decay': 0.0009464016734741676}. Best is trial 2 with value: 0.6661759372894271.
[I 2026-03-02 01:20:34,270] Trial 29 finished with value: 0.6474525579179041 and parameters: {'batch_size': 112, 'window_size': 2, 'attention_heads': 4, 'hidden_dimension': 36, 'number_of_hidden_layers': 1, 'dropout_rate': 0.33393334966123067, 'learning_rate': 0.0005867146671355367, 'weight_decay': 1.840694930707152e-06}. Best is trial 2 with value: 0.6661759372894271.
[I 2026-03-02 02:26:54,518] Trial 30 finished with value: 0.6438415655428883 and parameters: {'batch_size': 128, 'window_size': 4, 'attention_heads': 6, 'hidden_dimension': 34, 'number_of_hidden_layers': 0, 'dropout_rate': 0.37422929817839223, 'learning_rate': 0.00017659478902391827, 'weight_decay': 2.697347331427514e-05}. Best is trial 2 with value: 0.6661759372894271.
[I 2026-03-02 03:29:43,609] Trial 31 finished with value: 0.6302282149094421 and parameters: {'batch_size': 112, 'window_size': 4, 'attention_heads': 2, 'hidden_dimension': 38, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3833084995775328, 'learning_rate': 0.00028669265817664785, 'weight_decay': 3.7078032399435433e-06}. Best is trial 2 with value: 0.6661759372894271.
[I 2026-03-02 04:31:06,733] Trial 32 finished with value: 0.6440126088724538 and parameters: {'batch_size': 128, 'window_size': 3, 'attention_heads': 4, 'hidden_dimension': 46, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3827140017512608, 'learning_rate': 0.00023543327894731163, 'weight_decay': 1.3567730899019312e-05}. Best is trial 2 with value: 0.6661759372894271.
[I 2026-03-02 05:35:50,646] Trial 33 finished with value: 0.6477310648908913 and parameters: {'batch_size': 128, 'window_size': 3, 'attention_heads': 4, 'hidden_dimension': 34, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36292996984244213, 'learning_rate': 0.00017874008097688553, 'weight_decay': 3.554149666806524e-05}. Best is trial 2 with value: 0.6661759372894271.
[I 2026-03-02 06:35:03,008] Trial 34 finished with value: 0.6478750268115965 and parameters: {'batch_size': 128, 'window_size': 2, 'attention_heads': 4, 'hidden_dimension': 36, 'number_of_hidden_layers': 0, 'dropout_rate': 0.37086760800771396, 'learning_rate': 0.00041451539412318283, 'weight_decay': 2.8104134140724404e-05}. Best is trial 2 with value: 0.6661759372894271.
[I 2026-03-02 07:35:39,215] Trial 35 finished with value: 0.6677259162994283 and parameters: {'batch_size': 128, 'window_size': 3, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3861343999094103, 'learning_rate': 0.0004766376228740411, 'weight_decay': 6.572261466816642e-06}. Best is trial 35 with value: 0.6677259162994283.
[I 2026-03-02 08:36:26,966] Trial 36 finished with value: 0.6420900986368585 and parameters: {'batch_size': 120, 'window_size': 3, 'attention_heads': 5, 'hidden_dimension': 33, 'number_of_hidden_layers': 0, 'dropout_rate': 0.37333753196238784, 'learning_rate': 0.0004812407929368288, 'weight_decay': 3.5039225333163e-06}. Best is trial 35 with value: 0.6677259162994283.
[I 2026-03-02 09:35:54,190] Trial 37 finished with value: 0.6333694688845969 and parameters: {'batch_size': 128, 'window_size': 2, 'attention_heads': 5, 'hidden_dimension': 38, 'number_of_hidden_layers': 1, 'dropout_rate': 0.23812297138292685, 'learning_rate': 0.00041103755299480273, 'weight_decay': 1.3896456025365033e-06}. Best is trial 35 with value: 0.6677259162994283.
[I 2026-03-02 10:39:27,179] Trial 38 finished with value: 0.6558048742145705 and parameters: {'batch_size': 112, 'window_size': 3, 'attention_heads': 5, 'hidden_dimension': 34, 'number_of_hidden_layers': 1, 'dropout_rate': 0.36158572556781365, 'learning_rate': 0.0002087715535897227, 'weight_decay': 0.0008599202721546709}. Best is trial 35 with value: 0.6677259162994283.
[I 2026-03-02 11:40:19,010] Trial 39 finished with value: 0.6470521979138713 and parameters: {'batch_size': 128, 'window_size': 3, 'attention_heads': 3, 'hidden_dimension': 33, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3166871126266887, 'learning_rate': 0.00042685682715482785, 'weight_decay': 1.1486411701448299e-06}. Best is trial 35 with value: 0.6677259162994283.
[I 2026-03-02 12:41:26,968] Trial 40 finished with value: 0.6478923009113362 and parameters: {'batch_size': 112, 'window_size': 4, 'attention_heads': 4, 'hidden_dimension': 38, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3539468873482754, 'learning_rate': 0.000640749131043198, 'weight_decay': 3.2027995823963246e-06}. Best is trial 35 with value: 0.6677259162994283.
