test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.8507462686567164,0.7878787878787878,0.0012790267147235017,4,37
0.8029850746268656,0.7818181818181819,0.001272611475702542,4,38
0.8328358208955224,0.7818181818181819,0.0013025618311184556,4,39
0.8059701492537313,0.8,0.001280383921381253,3,40
0.8388059701492537,0.8242424242424242,0.0012945096884200821,4,41
0.8626865671641791,0.8606060606060606,0.0013421307748823024,5,42
0.835820895522388,0.8181818181818182,0.0013025902990084976,5,43
0.808955223880597,0.8121212121212121,0.0013421998095156542,4,44
0.7671641791044777,0.7212121212121212,0.0013046898058990935,2,45
0.8,0.7818181818181819,0.0013730063367245803,3,46
