test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9044776119402985,0.9151515151515152,0.001451713647415389,6,37
0.9313432835820895,0.9030303030303031,0.0014487807430438142,8,38
0.9014925373134328,0.896969696969697,0.0014536971476540636,7,39
0.9104477611940298,0.8909090909090909,0.0014482177905182341,10,40
0.9253731343283582,0.8909090909090909,0.001475725600968546,12,41
0.9313432835820895,0.9090909090909091,0.0014606055928700005,10,42
0.9104477611940298,0.8787878787878788,0.0014633548793508047,6,43
0.9164179104477612,0.9090909090909091,0.001454955428393919,8,44
0.9134328358208955,0.896969696969697,0.001477553951206492,9,45
0.9134328358208955,0.8787878787878788,0.0014463061717019151,7,46
