SLURM NODE: kn055
[I 2026-03-01 05:56:06,437] A new study created in RDB with name: Ohsumed-Chefer_importance
[I 2026-03-01 08:00:13,225] Trial 0 finished with value: 0.6299906836063088 and parameters: {'batch_size': 32, 'edge_threshold': 0.8, 'node_threshold': 0.6, 'attention_heads': 8, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 1e-06}. Best is trial 0 with value: 0.6299906836063088.
[I 2026-03-01 10:06:35,299] Trial 1 finished with value: 0.6018015753918147 and parameters: {'batch_size': 64, 'edge_threshold': 0.5, 'node_threshold': 0.6, 'attention_heads': 1, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 0.0001}. Best is trial 0 with value: 0.6299906836063088.
[I 2026-03-01 11:25:05,593] Trial 2 finished with value: 0.6174652230433488 and parameters: {'batch_size': 64, 'edge_threshold': 0.9, 'node_threshold': 0.5, 'attention_heads': 1, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001}. Best is trial 0 with value: 0.6299906836063088.
[I 2026-03-01 14:12:11,553] Trial 3 finished with value: 0.5955229788461719 and parameters: {'batch_size': 32, 'edge_threshold': 0.5, 'node_threshold': 0.5, 'attention_heads': 2, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 0.0003, 'weight_decay': 0.0001}. Best is trial 0 with value: 0.6299906836063088.
[I 2026-03-01 15:03:05,405] Trial 4 finished with value: 0.6320912518948202 and parameters: {'batch_size': 32, 'edge_threshold': 0.95, 'node_threshold': 0.9, 'attention_heads': 8, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 1e-05, 'weight_decay': 1e-05}. Best is trial 4 with value: 0.6320912518948202.
[I 2026-03-01 16:46:11,309] Trial 5 finished with value: 0.024787962770028017 and parameters: {'batch_size': 64, 'edge_threshold': 0.9, 'node_threshold': 0.7, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 1e-05, 'weight_decay': 1e-06}. Best is trial 4 with value: 0.6320912518948202.
[I 2026-03-01 17:56:01,470] Trial 6 finished with value: 0.6082164564129048 and parameters: {'batch_size': 32, 'edge_threshold': 0.8, 'node_threshold': 0.8, 'attention_heads': 4, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.001}. Best is trial 4 with value: 0.6320912518948202.
[I 2026-03-01 19:56:05,923] Trial 7 finished with value: 0.6179180013660006 and parameters: {'batch_size': 16, 'edge_threshold': 0.8, 'node_threshold': 0.6, 'attention_heads': 6, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'weight_decay': 1e-06}. Best is trial 4 with value: 0.6320912518948202.
[I 2026-03-01 21:04:53,962] Trial 8 finished with value: 0.032674173273663835 and parameters: {'batch_size': 32, 'edge_threshold': 0.95, 'node_threshold': 0.7, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'weight_decay': 0.0001}. Best is trial 4 with value: 0.6320912518948202.
[I 2026-03-01 22:01:39,245] Trial 9 finished with value: 0.6084005116860939 and parameters: {'batch_size': 16, 'edge_threshold': 0.8, 'node_threshold': 0.95, 'attention_heads': 1, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.001}. Best is trial 4 with value: 0.6320912518948202.
[I 2026-03-02 02:12:02,083] Trial 10 finished with value: 0.06312180627908634 and parameters: {'batch_size': 16, 'edge_threshold': 0.6, 'node_threshold': 0.6, 'attention_heads': 4, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 1e-05, 'weight_decay': 0.0001}. Best is trial 4 with value: 0.6320912518948202.
[I 2026-03-02 03:27:45,083] Trial 11 finished with value: 0.02405726935705711 and parameters: {'batch_size': 64, 'edge_threshold': 0.9, 'node_threshold': 0.7, 'attention_heads': 2, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 0.0003, 'weight_decay': 1e-06}. Best is trial 4 with value: 0.6320912518948202.
CUDA out of memory. Tried to allocate 5.96 GiB. GPU 0 has a total capacity of 44.40 GiB of which 3.93 GiB is free. Including non-PyTorch memory, this process has 40.45 GiB memory in use. Of the allocated memory 39.82 GiB is allocated by PyTorch, and 91.00 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2026-03-02 04:56:49,936] Trial 12 finished with value: -1.0 and parameters: {'batch_size': 128, 'edge_threshold': 0.8, 'node_threshold': 0.5, 'attention_heads': 8, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 1e-05, 'weight_decay': 0.001}. Best is trial 4 with value: 0.6320912518948202.
[I 2026-03-02 07:00:34,986] Trial 13 finished with value: 0.04776579721484575 and parameters: {'batch_size': 32, 'edge_threshold': 0.6, 'node_threshold': 0.6, 'attention_heads': 1, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 4 with value: 0.6320912518948202.
[I 2026-03-02 08:17:15,762] Trial 14 finished with value: 0.6020902130880895 and parameters: {'batch_size': 128, 'edge_threshold': 0.9, 'node_threshold': 0.7, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 1e-05, 'weight_decay': 1e-06}. Best is trial 4 with value: 0.6320912518948202.
