SLURM NODE: kn083
[I 2026-03-01 05:57:22,588] A new study created in RDB with name: R8-Chefer_importance
[I 2026-03-03 04:04:48,659] Trial 16 finished with value: 0.050452017861656415 and parameters: {'batch_size': 128, 'edge_threshold': 0.8, 'node_threshold': 0.7, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001}. Best is trial 14 with value: 0.9504375853512572.
[I 2026-03-03 05:55:42,197] Trial 17 finished with value: 0.9487093139979846 and parameters: {'batch_size': 128, 'edge_threshold': 0.9, 'node_threshold': 0.7, 'attention_heads': 1, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001}. Best is trial 14 with value: 0.9504375853512572.
[I 2026-03-03 07:17:14,777] Trial 18 finished with value: 0.954103223688586 and parameters: {'batch_size': 128, 'edge_threshold': 0.6, 'node_threshold': 0.95, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 0.0003, 'weight_decay': 1e-06}. Best is trial 18 with value: 0.954103223688586.
[I 2026-03-03 10:14:33,832] Trial 19 finished with value: 0.9450518813170865 and parameters: {'batch_size': 32, 'edge_threshold': 0.8, 'node_threshold': 0.5, 'attention_heads': 2, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 18 with value: 0.954103223688586.
[I 2026-03-03 12:32:36,578] Trial 20 finished with value: 0.9319143609301462 and parameters: {'batch_size': 16, 'edge_threshold': 0.95, 'node_threshold': 0.95, 'attention_heads': 1, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 18 with value: 0.954103223688586.
[I 2026-03-03 14:55:25,184] Trial 21 finished with value: 0.10156818371481974 and parameters: {'batch_size': 32, 'edge_threshold': 0.7, 'node_threshold': 0.95, 'attention_heads': 2, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'weight_decay': 0.001}. Best is trial 18 with value: 0.954103223688586.
[I 2026-03-03 17:42:21,814] Trial 22 finished with value: 0.9547308288471762 and parameters: {'batch_size': 64, 'edge_threshold': 0.8, 'node_threshold': 0.6, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.2, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 22 with value: 0.9547308288471762.
[I 2026-03-03 19:45:45,279] Trial 23 finished with value: 0.9479975421899249 and parameters: {'batch_size': 16, 'edge_threshold': 0.9, 'node_threshold': 0.95, 'attention_heads': 8, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 1e-06}. Best is trial 22 with value: 0.9547308288471762.
[I 2026-03-03 22:11:50,844] Trial 24 finished with value: 0.9411166931854613 and parameters: {'batch_size': 32, 'edge_threshold': 0.8, 'node_threshold': 0.6, 'attention_heads': 2, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 1e-06}. Best is trial 22 with value: 0.9547308288471762.
[I 2026-03-03 23:57:47,136] Trial 25 finished with value: 0.9440465098774923 and parameters: {'batch_size': 32, 'edge_threshold': 0.7, 'node_threshold': 0.9, 'attention_heads': 1, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05}. Best is trial 22 with value: 0.9547308288471762.
[I 2026-03-04 02:04:37,010] Trial 26 finished with value: 0.9326267236637873 and parameters: {'batch_size': 32, 'edge_threshold': 0.95, 'node_threshold': 0.5, 'attention_heads': 2, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 0.001}. Best is trial 22 with value: 0.9547308288471762.
slurmstepd: error: *** JOB 2303098 ON kn083 CANCELLED AT 2026-03-04T05:57:17 DUE TO TIME LIMIT ***
