dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,train,414,0.8,0.95,745,315,951,272,768,1865,2
IMDb-1k,train,312,0.8,0.95,773,392,1008,323,768,2194,2
IMDb-1k,train,278,0.8,0.95,946,428,1258,381,768,2648,2
IMDb-1k,train,381,0.8,0.95,808,447,1122,322,768,2142,2
IMDb-1k,train,472,0.8,0.95,786,363,1123,359,768,2260,2
IMDb-1k,train,362,0.8,0.95,812,373,1047,308,768,2073,2
IMDb-1k,train,324,0.8,0.95,980,459,1305,407,768,2773,2
IMDb-1k,train,431,0.8,0.95,770,385,989,305,768,2107,2
IMDb-1k,train,347,0.8,0.95,781,364,1021,329,768,2196,2
IMDb-1k,train,86,0.8,0.95,803,363,1062,338,768,2292,2
IMDb-1k,train,75,0.8,0.95,932,421,1177,369,768,2708,2
IMDb-1k,train,438,0.8,0.95,954,444,1257,399,768,2846,2
IMDb-1k,train,15,0.8,0.95,942,431,1184,401,768,2822,2
IMDb-1k,train,249,0.8,0.95,1435,622,1910,595,768,4183,2
IMDb-1k,train,433,0.8,0.95,804,369,996,336,768,2281,2
IMDb-1k,train,19,0.8,0.95,872,392,1063,364,768,2509,2
IMDb-1k,train,322,0.8,0.95,990,413,1209,362,768,2617,2
IMDb-1k,train,332,0.8,0.95,819,419,1130,361,768,2484,2
IMDb-1k,train,56,0.8,0.95,850,420,1116,361,768,2367,2
IMDb-1k,train,301,0.8,0.95,1447,531,1799,611,768,4354,2
IMDb-1k,train,229,0.8,0.95,969,421,1267,365,768,2541,2
IMDb-1k,train,331,0.8,0.95,794,364,1076,336,768,2267,2
IMDb-1k,train,132,0.8,0.95,869,421,1109,373,768,2518,2
IMDb-1k,train,137,0.8,0.95,970,447,1172,351,768,2618,2
IMDb-1k,train,423,0.8,0.95,1049,468,1284,455,768,3256,2
IMDb-1k,train,335,0.8,0.95,762,369,946,292,768,2014,2
IMDb-1k,train,25,0.8,0.95,970,461,1314,414,768,2832,2
IMDb-1k,train,464,0.8,0.95,787,383,1048,333,768,2198,2
IMDb-1k,train,281,0.8,0.95,916,389,1215,394,768,2671,2
IMDb-1k,train,247,0.8,0.95,887,400,1165,318,768,2261,2
IMDb-1k,train,237,0.8,0.95,793,353,1121,329,768,2165,2
IMDb-1k,train,117,0.8,0.95,946,393,1212,412,768,2908,2
IMDb-1k,train,42,0.8,0.95,949,459,1291,407,768,2848,2
IMDb-1k,train,220,0.8,0.95,1369,538,1644,540,768,3945,2
IMDb-1k,train,176,0.8,0.95,881,400,1134,323,768,2290,2
IMDb-1k,train,320,0.8,0.95,876,409,1095,307,768,2205,2
IMDb-1k,train,153,0.8,0.95,753,354,986,315,768,2084,2
IMDb-1k,train,231,0.8,0.95,863,408,1187,358,768,2479,2
IMDb-1k,train,227,0.8,0.95,838,433,1075,328,768,2273,2
IMDb-1k,train,417,0.8,0.95,961,460,1305,443,768,2949,2
IMDb-1k,train,203,0.8,0.95,765,431,1013,315,768,2042,2
IMDb-1k,train,126,0.8,0.95,958,464,1180,345,768,2437,2
IMDb-1k,train,329,0.8,0.95,827,428,1088,355,768,2378,2
IMDb-1k,train,31,0.8,0.95,799,420,1076,334,768,2278,2
IMDb-1k,train,113,0.8,0.95,770,399,1015,297,768,2033,2
IMDb-1k,train,470,0.8,0.95,799,398,1054,352,768,2350,2
IMDb-1k,train,271,0.8,0.95,877,379,1068,380,768,2697,2
IMDb-1k,train,140,0.8,0.95,779,421,1015,322,768,2178,2
IMDb-1k,train,57,0.8,0.95,844,392,1186,335,768,2219,2
IMDb-1k,train,192,0.8,0.95,904,400,1125,340,768,2419,2
IMDb-1k,train,24,0.8,0.95,866,425,1133,371,768,2501,2
IMDb-1k,train,17,0.8,0.95,765,391,996,340,768,2218,2
IMDb-1k,train,265,0.8,0.95,923,435,1140,373,768,2621,2
IMDb-1k,train,66,0.8,0.95,960,527,1421,443,768,3021,2
IMDb-1k,train,208,0.8,0.95,844,405,1078,355,768,2380,2
IMDb-1k,train,479,0.8,0.95,791,404,1004,351,768,2440,2
IMDb-1k,train,94,0.8,0.95,962,459,1326,439,768,3042,2
IMDb-1k,train,253,0.8,0.95,937,452,1239,371,768,2622,2
IMDb-1k,train,266,0.8,0.95,851,357,1071,319,768,2165,2
IMDb-1k,train,23,0.8,0.95,892,427,1140,369,768,2498,2
IMDb-1k,train,222,0.8,0.95,789,352,1026,288,768,1984,2
IMDb-1k,train,261,0.8,0.95,933,392,1152,374,768,2649,2
IMDb-1k,train,426,0.8,0.95,904,404,1255,369,768,2493,2
IMDb-1k,validation,135,0.8,0.95,897,444,1260,437,768,3050,2
IMDb-1k,validation,115,0.8,0.95,755,349,963,307,768,2087,2
IMDb-1k,validation,131,0.8,0.95,800,407,1022,343,768,2342,2
IMDb-1k,validation,55,0.8,0.95,956,487,1256,377,768,2731,2
IMDb-1k,validation,95,0.8,0.95,736,388,986,329,768,2095,2
IMDb-1k,validation,29,0.8,0.95,799,386,1071,360,768,2389,2
IMDb-1k,validation,158,0.8,0.95,832,442,1063,327,768,2246,2
IMDb-1k,validation,51,0.8,0.95,864,450,1161,374,768,2596,2
IMDb-1k,validation,101,0.8,0.95,828,357,1125,359,768,2355,2
IMDb-1k,validation,145,0.8,0.95,897,392,1153,380,768,2564,2
IMDb-1k,validation,19,0.8,0.95,939,420,1237,379,768,2699,2
IMDb-1k,validation,85,0.8,0.95,933,451,1179,388,768,2756,2
IMDb-1k,validation,15,0.8,0.95,763,391,1113,365,768,2422,2
IMDb-1k,validation,66,0.8,0.95,844,392,1106,324,768,2245,2
IMDb-1k,validation,24,0.8,0.95,936,464,1168,334,768,2444,2
IMDb-1k,validation,30,0.8,0.95,881,471,1224,380,768,2636,2
IMDb-1k,validation,132,0.8,0.95,876,423,1072,344,768,2426,2
IMDb-1k,validation,105,0.8,0.95,745,408,969,325,768,2162,2
IMDb-1k,validation,153,0.8,0.95,775,383,980,336,768,2342,2
IMDb-1k,validation,16,0.8,0.95,835,380,1084,336,768,2304,2
IMDb-1k,validation,75,0.8,0.95,968,506,1378,444,768,2985,2
IMDb-1k,validation,18,0.8,0.95,900,448,1179,381,768,2628,2
IMDb-1k,validation,12,0.8,0.95,941,414,1259,395,768,2810,2
IMDb-1k,validation,9,0.8,0.95,915,365,1138,379,768,2602,2
IMDb-1k,validation,31,0.8,0.95,826,406,1066,336,768,2234,2
IMDb-1k,validation,156,0.8,0.95,775,400,1020,307,768,2126,2
IMDb-1k,validation,98,0.8,0.95,854,432,1234,373,768,2566,2
IMDb-1k,validation,56,0.8,0.95,923,445,1197,361,768,2547,2
IMDb-1k,validation,134,0.8,0.95,806,378,1052,340,768,2288,2
IMDb-1k,validation,161,0.8,0.95,772,407,1028,334,768,2251,2
IMDb-1k,validation,139,0.8,0.95,757,350,968,269,768,1816,2
IMDb-1k,validation,78,0.8,0.95,938,406,1274,398,768,2882,2
IMDb-1k,validation,60,0.8,0.95,786,361,1035,371,768,2407,2
IMDb-1k,validation,84,0.8,0.95,961,494,1307,432,768,3035,2
IMDb-1k,validation,2,0.8,0.95,802,432,1187,375,768,2426,2
IMDb-1k,validation,94,0.8,0.95,756,389,1011,350,768,2372,2
IMDb-1k,validation,45,0.8,0.95,757,370,910,284,768,2015,2
IMDb-1k,validation,42,0.8,0.95,952,418,1218,377,768,2674,2
IMDb-1k,validation,69,0.8,0.95,937,470,1282,439,768,3009,2
IMDb-1k,validation,154,0.8,0.95,835,417,1137,350,768,2372,2
IMDb-1k,validation,26,0.8,0.95,777,334,1132,380,768,2460,2
IMDb-1k,validation,141,0.8,0.95,785,404,1042,334,768,2232,2
IMDb-1k,validation,117,0.8,0.95,779,435,1046,315,768,2158,2
IMDb-1k,validation,93,0.8,0.95,946,414,1240,355,768,2527,2
IMDb-1k,validation,133,0.8,0.95,948,442,1208,400,768,2817,2
IMDb-1k,validation,36,0.8,0.95,752,394,987,336,768,2258,2
IMDb-1k,validation,82,0.8,0.95,797,401,1102,347,768,2215,2
IMDb-1k,validation,22,0.8,0.95,775,374,1039,328,768,2166,2
IMDb-1k,validation,126,0.8,0.95,990,473,1276,442,768,3068,2
IMDb-1k,validation,67,0.8,0.95,983,422,1259,407,768,2946,2
