dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,train,361,0.9,0.8,792,427,1019,206,768,2258,2
IMDb-1k,train,73,0.9,0.8,788,362,1052,180,768,2013,2
IMDb-1k,train,374,0.9,0.8,805,419,1042,200,768,2174,2
IMDb-1k,train,155,0.9,0.8,787,336,1017,199,768,2158,2
IMDb-1k,train,104,0.9,0.8,948,490,1352,247,768,2621,2
IMDb-1k,train,394,0.9,0.8,940,478,1368,231,768,2519,2
IMDb-1k,train,377,0.9,0.8,1141,567,1569,266,768,3083,2
IMDb-1k,train,124,0.9,0.8,973,428,1325,247,768,2741,2
IMDb-1k,train,68,0.9,0.8,934,428,1228,221,768,2593,2
IMDb-1k,train,450,0.9,0.8,1294,571,1713,308,768,3515,2
IMDb-1k,train,9,0.9,0.8,875,430,1141,204,768,2279,2
IMDb-1k,train,194,0.9,0.8,938,517,1320,209,768,2398,2
IMDb-1k,train,406,0.9,0.8,935,363,1204,200,768,2239,2
IMDb-1k,train,84,0.9,0.8,779,308,987,204,768,2091,2
IMDb-1k,train,371,0.9,0.8,768,399,1058,175,768,1888,2
IMDb-1k,train,388,0.9,0.8,1645,603,2166,366,768,4244,2
IMDb-1k,train,495,0.9,0.8,860,394,1141,194,768,2017,2
IMDb-1k,train,30,0.9,0.8,787,386,1003,188,768,1955,2
IMDb-1k,train,316,0.9,0.8,930,429,1309,243,768,2468,2
IMDb-1k,train,408,0.9,0.8,937,504,1293,227,768,2502,2
IMDb-1k,train,490,0.9,0.8,918,426,1251,234,768,2605,2
IMDb-1k,train,491,0.9,0.8,948,524,1223,212,768,2589,2
IMDb-1k,train,280,0.9,0.8,850,422,1121,191,768,2184,2
IMDb-1k,train,356,0.9,0.8,885,400,1112,196,768,2221,2
IMDb-1k,train,76,0.9,0.8,792,418,1034,188,768,2071,2
IMDb-1k,train,461,0.9,0.8,901,414,1189,192,768,2140,2
IMDb-1k,train,497,0.9,0.8,896,476,1290,199,768,2179,2
IMDb-1k,train,211,0.9,0.8,976,462,1311,249,768,2766,2
IMDb-1k,train,101,0.9,0.8,762,405,1067,196,768,2028,2
IMDb-1k,train,334,0.9,0.8,976,486,1402,244,768,2771,2
IMDb-1k,train,475,0.9,0.8,804,418,1064,193,768,2121,2
IMDb-1k,train,336,0.9,0.8,883,376,1109,210,768,2340,2
IMDb-1k,train,440,0.9,0.8,845,420,1147,188,768,2140,2
IMDb-1k,train,173,0.9,0.8,949,429,1203,222,768,2519,2
IMDb-1k,train,2,0.9,0.8,857,444,1105,195,768,2188,2
IMDb-1k,train,333,0.9,0.8,908,419,1268,202,768,2316,2
IMDb-1k,train,409,0.9,0.8,952,508,1251,205,768,2462,2
IMDb-1k,train,70,0.9,0.8,1541,649,2123,373,768,4014,2
IMDb-1k,train,209,0.9,0.8,892,430,1165,187,768,2124,2
IMDb-1k,train,63,0.9,0.8,953,507,1356,252,768,2772,2
IMDb-1k,train,384,0.9,0.8,827,382,1071,199,768,2145,2
IMDb-1k,train,93,0.9,0.8,960,445,1247,221,768,2505,2
IMDb-1k,train,485,0.9,0.8,790,401,986,173,768,2035,2
IMDb-1k,train,185,0.9,0.8,911,491,1143,211,768,2449,2
IMDb-1k,train,33,0.9,0.8,947,445,1263,215,768,2487,2
IMDb-1k,train,77,0.9,0.8,803,383,1089,197,768,2175,2
IMDb-1k,train,0,0.9,0.8,852,408,1050,178,768,1995,2
IMDb-1k,train,11,0.9,0.8,948,368,1293,242,768,2543,2
IMDb-1k,train,415,0.9,0.8,944,426,1195,213,768,2434,2
IMDb-1k,train,22,0.9,0.8,851,410,1147,199,768,2273,2
IMDb-1k,train,72,0.9,0.8,783,392,1072,196,768,2070,2
IMDb-1k,train,182,0.9,0.8,764,310,928,179,768,1987,2
IMDb-1k,train,131,0.9,0.8,1028,521,1360,237,768,2714,2
IMDb-1k,train,410,0.9,0.8,835,417,1145,195,768,2043,2
IMDb-1k,train,193,0.9,0.8,876,459,1176,198,768,2240,2
IMDb-1k,train,55,0.9,0.8,965,463,1415,237,768,2486,2
IMDb-1k,train,148,0.9,0.8,921,449,1303,222,768,2430,2
IMDb-1k,train,18,0.9,0.8,796,394,1118,186,768,2063,2
IMDb-1k,train,204,0.9,0.8,977,509,1288,237,768,2708,2
IMDb-1k,train,78,0.9,0.8,931,411,1226,202,768,2288,2
IMDb-1k,train,494,0.9,0.8,816,382,1091,184,768,2034,2
IMDb-1k,train,262,0.9,0.8,910,390,1090,187,768,2146,2
IMDb-1k,train,323,0.9,0.8,935,439,1241,213,768,2425,2
IMDb-1k,train,483,0.9,0.8,1161,426,1433,271,768,3000,2
IMDb-1k,train,79,0.9,0.8,884,427,1152,191,768,2222,2
IMDb-1k,train,39,0.9,0.8,753,472,1048,189,768,2045,2
IMDb-1k,train,451,0.9,0.8,891,375,1115,201,768,2268,2
IMDb-1k,train,46,0.9,0.8,806,432,1084,188,768,2133,2
IMDb-1k,train,238,0.9,0.8,1464,632,1974,324,768,3815,2
IMDb-1k,train,391,0.9,0.8,766,399,1083,175,768,1884,2
IMDb-1k,train,352,0.9,0.8,953,475,1279,239,768,2657,2
IMDb-1k,train,341,0.9,0.8,802,393,1081,165,768,1824,2
IMDb-1k,train,277,0.9,0.8,791,338,1033,197,768,2142,2
IMDb-1k,train,290,0.9,0.8,948,507,1303,239,768,2551,2
IMDb-1k,train,317,0.9,0.8,899,442,1244,205,768,2406,2
IMDb-1k,train,304,0.9,0.8,914,446,1193,223,768,2504,2
IMDb-1k,train,268,0.9,0.8,816,428,1082,157,768,1710,2
IMDb-1k,train,69,0.9,0.8,734,369,944,165,768,1801,2
IMDb-1k,train,455,0.9,0.8,950,459,1217,191,768,2234,2
IMDb-1k,train,465,0.9,0.8,764,453,1092,178,768,1838,2
IMDb-1k,train,154,0.9,0.8,977,431,1291,244,768,2706,2
IMDb-1k,train,82,0.9,0.8,877,450,1186,201,768,2259,2
IMDb-1k,train,477,0.9,0.8,788,354,1023,193,768,2032,2
IMDb-1k,train,172,0.9,0.8,766,353,953,147,768,1627,2
IMDb-1k,train,321,0.9,0.8,792,369,1140,200,768,2118,2
IMDb-1k,train,90,0.9,0.8,759,392,1048,186,768,1984,2
IMDb-1k,train,180,0.9,0.8,801,445,1071,174,768,2036,2
IMDb-1k,train,414,0.9,0.8,745,315,951,155,768,1717,2
IMDb-1k,train,312,0.9,0.8,773,392,1008,189,768,2058,2
IMDb-1k,train,278,0.9,0.8,946,428,1258,211,768,2370,2
IMDb-1k,train,381,0.9,0.8,808,447,1122,174,768,1924,2
IMDb-1k,train,472,0.9,0.8,786,363,1123,206,768,2072,2
IMDb-1k,train,362,0.9,0.8,812,373,1047,169,768,1812,2
IMDb-1k,train,324,0.9,0.8,980,459,1305,229,768,2491,2
IMDb-1k,train,431,0.9,0.8,770,385,989,159,768,1739,2
IMDb-1k,train,347,0.9,0.8,781,364,1021,178,768,1930,2
IMDb-1k,train,86,0.9,0.8,803,363,1062,183,768,2026,2
IMDb-1k,train,75,0.9,0.8,932,421,1177,213,768,2566,2
IMDb-1k,train,438,0.9,0.8,954,444,1257,219,768,2574,2
IMDb-1k,train,15,0.9,0.8,942,431,1184,224,768,2571,2
IMDb-1k,train,249,0.9,0.8,1435,622,1910,321,768,3695,2
IMDb-1k,train,433,0.9,0.8,804,369,996,198,768,2109,2
IMDb-1k,train,19,0.9,0.8,872,392,1063,208,768,2291,2
IMDb-1k,train,322,0.9,0.8,990,413,1209,196,768,2234,2
IMDb-1k,train,332,0.9,0.8,819,419,1130,205,768,2250,2
IMDb-1k,train,56,0.9,0.8,850,420,1116,198,768,2117,2
IMDb-1k,train,301,0.9,0.8,1447,531,1799,354,768,4071,2
IMDb-1k,train,229,0.9,0.8,969,421,1267,191,768,2226,2
IMDb-1k,train,331,0.9,0.8,794,364,1076,183,768,2024,2
IMDb-1k,train,132,0.9,0.8,869,421,1109,201,768,2199,2
IMDb-1k,train,137,0.9,0.8,970,447,1172,191,768,2349,2
IMDb-1k,train,423,0.9,0.8,1049,468,1284,250,768,2968,2
IMDb-1k,train,335,0.9,0.8,762,369,946,152,768,1709,2
IMDb-1k,train,25,0.9,0.8,970,461,1314,227,768,2529,2
IMDb-1k,train,464,0.9,0.8,787,383,1048,191,768,2014,2
IMDb-1k,train,281,0.9,0.8,916,389,1215,212,768,2398,2
IMDb-1k,train,247,0.9,0.8,887,400,1165,182,768,2079,2
IMDb-1k,train,237,0.9,0.8,793,353,1121,182,768,1972,2
IMDb-1k,train,117,0.9,0.8,946,393,1212,240,768,2675,2
IMDb-1k,train,42,0.9,0.8,949,459,1291,232,768,2611,2
IMDb-1k,train,220,0.9,0.8,1369,538,1644,296,768,3620,2
IMDb-1k,train,176,0.9,0.8,881,400,1134,182,768,2029,2
IMDb-1k,train,320,0.9,0.8,876,409,1095,162,768,1984,2
IMDb-1k,train,153,0.9,0.8,753,354,986,177,768,1890,2
IMDb-1k,train,231,0.9,0.8,863,408,1187,198,768,2209,2
IMDb-1k,train,227,0.9,0.8,838,433,1075,184,768,2063,2
IMDb-1k,train,417,0.9,0.8,961,460,1305,246,768,2667,2
IMDb-1k,train,203,0.9,0.8,765,431,1013,170,768,1860,2
IMDb-1k,train,126,0.9,0.8,958,464,1180,193,768,2273,2
IMDb-1k,train,329,0.9,0.8,827,428,1088,198,768,2151,2
IMDb-1k,train,31,0.9,0.8,799,420,1076,181,768,2022,2
IMDb-1k,train,113,0.9,0.8,770,399,1015,163,768,1806,2
IMDb-1k,train,470,0.9,0.8,799,398,1054,208,768,2201,2
IMDb-1k,train,271,0.9,0.8,877,379,1068,219,768,2464,2
IMDb-1k,train,140,0.9,0.8,779,421,1015,175,768,1937,2
IMDb-1k,train,57,0.9,0.8,844,392,1186,186,768,2037,2
IMDb-1k,train,192,0.9,0.8,904,400,1125,188,768,2131,2
IMDb-1k,train,24,0.9,0.8,866,425,1133,212,768,2244,2
IMDb-1k,train,17,0.9,0.8,765,391,996,184,768,1980,2
IMDb-1k,train,265,0.9,0.8,923,435,1140,212,768,2402,2
IMDb-1k,train,66,0.9,0.8,960,527,1421,252,768,2758,2
IMDb-1k,train,208,0.9,0.8,844,405,1078,193,768,2122,2
IMDb-1k,train,479,0.9,0.8,791,404,1004,210,768,2296,2
IMDb-1k,train,94,0.9,0.8,962,459,1326,243,768,2767,2
IMDb-1k,train,253,0.9,0.8,937,452,1239,203,768,2352,2
IMDb-1k,train,266,0.9,0.8,851,357,1071,170,768,1889,2
IMDb-1k,train,23,0.9,0.8,892,427,1140,203,768,2289,2
IMDb-1k,train,222,0.9,0.8,789,352,1026,164,768,1813,2
IMDb-1k,train,261,0.9,0.8,933,392,1152,215,768,2413,2
IMDb-1k,train,426,0.9,0.8,904,404,1255,206,768,2225,2
IMDb-1k,validation,135,0.9,0.8,897,444,1260,244,768,2783,2
IMDb-1k,validation,115,0.9,0.8,755,349,963,166,768,1802,2
IMDb-1k,validation,131,0.9,0.8,800,407,1022,198,768,2101,2
IMDb-1k,validation,55,0.9,0.8,956,487,1256,200,768,2408,2
IMDb-1k,validation,95,0.9,0.8,736,388,986,184,768,1849,2
IMDb-1k,validation,29,0.9,0.8,799,386,1071,204,768,2137,2
IMDb-1k,validation,158,0.9,0.8,832,442,1063,176,768,1955,2
IMDb-1k,validation,51,0.9,0.8,864,450,1161,206,768,2328,2
IMDb-1k,validation,101,0.9,0.8,828,357,1125,201,768,2114,2
IMDb-1k,validation,145,0.9,0.8,897,392,1153,214,768,2343,2
IMDb-1k,validation,19,0.9,0.8,939,420,1237,215,768,2484,2
IMDb-1k,validation,85,0.9,0.8,933,451,1179,217,768,2513,2
IMDb-1k,validation,15,0.9,0.8,763,391,1113,208,768,2204,2
IMDb-1k,validation,66,0.9,0.8,844,392,1106,189,768,2121,2
IMDb-1k,validation,24,0.9,0.8,936,464,1168,186,768,2224,2
