dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
Ohsumed,validation,158,0.5,0.8,68,54,105,80,768,1563,23
Ohsumed,validation,481,0.5,0.8,185,95,293,204,768,12276,23
Ohsumed,validation,639,0.5,0.8,202,105,283,211,768,11936,23
Ohsumed,validation,275,0.5,0.8,160,98,290,205,768,11216,23
Ohsumed,test,4004,0.5,0.8,237,126,354,259,768,18324,23
Ohsumed,test,149,0.5,0.8,198,103,334,243,768,16049,23
Ohsumed,test,2025,0.5,0.8,136,80,188,141,768,4778,23
Ohsumed,test,2505,0.5,0.8,161,89,282,200,768,10708,23
Ohsumed,test,3203,0.5,0.8,208,109,310,220,768,12786,23
R8,train,3809,0.5,0.8,18,13,37,19,768,128,8
R8,train,149,0.5,0.8,38,32,51,31,768,243,8
R8,train,3123,0.5,0.8,37,21,74,35,768,399,8
R8,train,3367,0.5,0.8,102,39,136,82,768,1646,8
R8,train,3196,0.5,0.8,95,66,135,80,768,1611,8
R8,validation,628,0.5,0.8,57,41,82,54,768,648,8
R8,validation,631,0.5,0.8,39,35,58,39,768,347,8
R8,validation,741,0.5,0.8,47,31,64,35,768,307,8
R8,validation,514,0.5,0.8,187,119,255,143,768,4974,8
R8,validation,365,0.5,0.8,88,51,170,84,768,2107,8
R8,test,1593,0.5,0.8,86,56,116,65,768,1056,8
R8,test,526,0.5,0.8,38,21,84,38,768,467,8
R8,test,393,0.5,0.8,329,168,412,240,768,14979,8
R8,test,1403,0.5,0.8,79,55,116,65,768,1070,8
R8,test,433,0.5,0.8,76,57,89,58,768,859,8
Ohsumed,train,655,0.5,0.9,306,155,480,320,768,14679,23
Ohsumed,train,862,0.5,0.9,175,83,276,175,768,4576,23
Ohsumed,train,365,0.5,0.9,176,106,220,155,768,3536,23
Ohsumed,train,2423,0.5,0.9,174,90,264,201,768,5631,23
Ohsumed,train,1514,0.5,0.9,270,138,392,259,768,10189,23
Ohsumed,validation,361,0.5,0.9,160,90,253,171,768,3813,23
Ohsumed,validation,158,0.5,0.9,68,54,105,80,768,869,23
Ohsumed,validation,481,0.5,0.9,185,95,293,204,768,6426,23
Ohsumed,validation,639,0.5,0.9,202,105,283,211,768,5956,23
Ohsumed,validation,275,0.5,0.9,160,98,290,205,768,5735,23
Ohsumed,test,4004,0.5,0.9,237,126,354,259,768,9776,23
Ohsumed,test,149,0.5,0.9,198,103,334,243,768,8284,23
Ohsumed,test,2025,0.5,0.9,136,80,188,141,768,2613,23
Ohsumed,test,2505,0.5,0.9,161,89,282,200,768,5818,23
Ohsumed,test,3203,0.5,0.9,208,109,310,220,768,6728,23
R8,train,3809,0.5,0.9,18,13,37,19,768,91,8
R8,train,149,0.5,0.9,38,32,51,31,768,162,8
R8,train,3123,0.5,0.9,37,21,74,35,768,259,8
R8,train,3367,0.5,0.9,102,39,136,82,768,933,8
R8,train,3196,0.5,0.9,95,66,135,80,768,908,8
R8,validation,628,0.5,0.9,57,41,82,54,768,407,8
R8,validation,631,0.5,0.9,39,35,58,39,768,219,8
R8,validation,741,0.5,0.9,47,31,64,35,768,202,8
R8,validation,514,0.5,0.9,187,119,255,143,768,2625,8
R8,validation,365,0.5,0.9,88,51,170,84,768,1209,8
R8,test,1593,0.5,0.9,86,56,116,65,768,593,8
R8,test,526,0.5,0.9,38,21,84,38,768,294,8
R8,test,393,0.5,0.9,329,168,412,240,768,7923,8
R8,test,1403,0.5,0.9,79,55,116,65,768,619,8
R8,test,433,0.5,0.9,76,57,89,58,768,502,8
Ohsumed,train,655,0.5,0.95,306,155,480,320,768,8125,23
Ohsumed,train,862,0.5,0.95,175,83,276,175,768,2644,23
Ohsumed,train,365,0.5,0.95,176,106,220,155,768,1927,23
Ohsumed,train,2423,0.5,0.95,174,90,264,201,768,3049,23
Ohsumed,train,1514,0.5,0.95,270,138,392,259,768,5315,23
Ohsumed,validation,361,0.5,0.95,160,90,253,171,768,2195,23
Ohsumed,validation,158,0.5,0.95,68,54,105,80,768,515,23
Ohsumed,validation,481,0.5,0.95,185,95,293,204,768,3109,23
Ohsumed,validation,639,0.5,0.95,202,105,283,211,768,3090,23
Ohsumed,validation,275,0.5,0.95,160,98,290,205,768,2949,23
Ohsumed,test,4004,0.5,0.95,237,126,354,259,768,5017,23
Ohsumed,test,149,0.5,0.95,198,103,334,243,768,4266,23
Ohsumed,test,2025,0.5,0.95,136,80,188,141,768,1495,23
Ohsumed,test,2505,0.5,0.95,161,89,282,200,768,3018,23
Ohsumed,test,3203,0.5,0.95,208,109,310,220,768,3634,23
R8,train,3809,0.5,0.95,18,13,37,19,768,68,8
R8,train,149,0.5,0.95,38,32,51,31,768,126,8
R8,train,3123,0.5,0.95,37,21,74,35,768,177,8
R8,train,3367,0.5,0.95,102,39,136,82,768,578,8
R8,train,3196,0.5,0.95,95,66,135,80,768,564,8
R8,validation,628,0.5,0.95,57,41,82,54,768,283,8
R8,validation,631,0.5,0.95,39,35,58,39,768,161,8
R8,validation,741,0.5,0.95,47,31,64,35,768,151,8
R8,validation,514,0.5,0.95,187,119,255,143,768,1469,8
R8,validation,365,0.5,0.95,88,51,170,84,768,728,8
R8,test,1593,0.5,0.95,86,56,116,65,768,389,8
R8,test,526,0.5,0.95,38,21,84,38,768,201,8
R8,test,393,0.5,0.95,329,168,412,240,768,4327,8
R8,test,1403,0.5,0.95,79,55,116,65,768,395,8
R8,test,433,0.5,0.95,76,57,89,58,768,315,8
Ohsumed,train,655,0.6,0.5,306,155,480,273,768,39864,23
Ohsumed,train,862,0.6,0.5,175,83,276,151,768,12670,23
Ohsumed,train,365,0.6,0.5,176,106,220,135,768,9791,23
Ohsumed,train,2423,0.6,0.5,174,90,264,174,768,15782,23
Ohsumed,train,1514,0.6,0.5,270,138,392,228,768,30280,23
Ohsumed,validation,361,0.6,0.5,160,90,253,142,768,10422,23
Ohsumed,validation,158,0.6,0.5,68,54,105,70,768,2381,23
Ohsumed,validation,481,0.6,0.5,185,95,293,187,768,19209,23
Ohsumed,validation,639,0.6,0.5,202,105,283,187,768,18583,23
Ohsumed,validation,275,0.6,0.5,160,98,290,171,768,16584,23
Ohsumed,test,4004,0.6,0.5,237,126,354,223,768,26893,23
Ohsumed,test,149,0.6,0.5,198,103,334,216,768,24416,23
Ohsumed,test,2025,0.6,0.5,136,80,188,113,768,6903,23
Ohsumed,test,2505,0.6,0.5,161,89,282,169,768,15666,23
Ohsumed,test,3203,0.6,0.5,208,109,310,191,768,19551,23
R8,train,3809,0.6,0.5,18,13,37,16,768,134,8
R8,train,149,0.6,0.5,38,32,51,22,768,269,8
R8,train,3123,0.6,0.5,37,21,74,34,768,580,8
R8,train,3367,0.6,0.5,102,39,136,68,768,2365,8
R8,train,3196,0.6,0.5,95,66,135,65,768,2282,8
R8,validation,628,0.6,0.5,57,41,82,42,768,886,8
R8,validation,631,0.6,0.5,39,35,58,29,768,432,8
