dataset,split,index,threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
R8,train,3196,0.9,95,66,135,133,768,1769,12
R8,validation,628,0.9,57,41,82,80,768,640,12
R8,validation,631,0.9,39,35,58,56,768,314,12
R8,validation,741,0.9,47,31,64,62,768,385,12
R8,validation,514,0.9,187,119,255,253,768,6401,12
R8,validation,365,0.9,88,51,170,168,768,2823,12
R8,test,1593,0.9,86,56,116,114,768,1300,12
R8,test,526,0.9,38,21,84,82,768,673,12
R8,test,393,0.9,329,168,412,410,768,16810,12
R8,test,1403,0.9,79,55,116,114,768,1300,12
R8,test,433,0.9,76,57,89,87,768,757,12
Ohsumed,train,655,0.95,306,155,480,478,768,11425,12
Ohsumed,train,862,0.95,175,83,276,274,768,3754,12
Ohsumed,train,365,0.95,176,106,220,218,768,2377,12
Ohsumed,train,2423,0.95,174,90,264,262,768,3433,12
Ohsumed,train,1514,0.95,270,138,392,390,768,7605,12
Ohsumed,validation,361,0.95,160,90,253,251,768,3151,12
Ohsumed,validation,158,0.95,68,54,105,103,768,531,12
Ohsumed,validation,481,0.95,185,95,293,291,768,4235,12
Ohsumed,validation,639,0.95,202,105,283,281,768,3949,12
Ohsumed,validation,275,0.95,160,98,290,288,768,4148,12
Ohsumed,test,4004,0.95,237,126,354,352,768,6196,12
Ohsumed,test,149,0.95,198,103,334,332,768,5512,12
Ohsumed,test,2025,0.95,136,80,188,186,768,1730,12
Ohsumed,test,2505,0.95,161,89,282,280,768,3920,12
Ohsumed,test,3203,0.95,208,109,310,308,768,4744,12
R8,train,3809,0.95,18,13,37,35,768,62,12
R8,train,149,0.95,38,32,51,49,768,121,12
R8,train,3123,0.95,37,21,74,72,768,260,12
R8,train,3367,0.95,102,39,136,134,768,898,12
R8,train,3196,0.95,95,66,135,133,768,885,12
R8,validation,628,0.95,57,41,82,80,768,320,12
R8,validation,631,0.95,39,35,58,56,768,157,12
R8,validation,741,0.95,47,31,64,62,768,193,12
R8,validation,514,0.95,187,119,255,253,768,3201,12
R8,validation,365,0.95,88,51,170,168,768,1412,12
R8,test,1593,0.95,86,56,116,114,768,650,12
R8,test,526,0.95,38,21,84,82,768,337,12
R8,test,393,0.95,329,168,412,410,768,8406,12
R8,test,1403,0.95,79,55,116,114,768,650,12
R8,test,433,0.95,76,57,89,87,768,379,12
Ohsumed,train,655,0.99,306,155,480,478,768,2285,12
Ohsumed,train,862,0.99,175,83,276,274,768,751,12
Ohsumed,train,365,0.99,176,106,220,218,768,476,12
Ohsumed,train,2423,0.99,174,90,264,262,768,687,12
Ohsumed,train,1514,0.99,270,138,392,390,768,1521,12
Ohsumed,validation,361,0.99,160,90,253,251,768,631,12
Ohsumed,validation,158,0.99,68,54,105,96,768,107,12
Ohsumed,validation,481,0.99,185,95,293,291,768,847,12
Ohsumed,validation,639,0.99,202,105,283,281,768,790,12
Ohsumed,validation,275,0.99,160,98,290,288,768,830,12
Ohsumed,test,4004,0.99,237,126,354,352,768,1240,12
Ohsumed,test,149,0.99,198,103,334,332,768,1103,12
Ohsumed,test,2025,0.99,136,80,188,185,768,346,12
Ohsumed,test,2505,0.99,161,89,282,280,768,784,12
Ohsumed,test,3203,0.99,208,109,310,308,768,949,12
R8,train,3809,0.99,18,13,37,20,768,13,12
R8,train,149,0.99,38,32,51,37,768,25,12
R8,train,3123,0.99,37,21,74,65,768,52,12
R8,train,3367,0.99,102,39,136,129,768,180,12
R8,train,3196,0.99,95,66,135,124,768,177,12
R8,validation,628,0.99,57,41,82,78,768,64,12
R8,validation,631,0.99,39,35,58,40,768,32,12
R8,validation,741,0.99,47,31,64,40,768,39,12
R8,validation,514,0.99,187,119,255,253,768,641,12
R8,validation,365,0.99,88,51,170,168,768,283,12
R8,test,1593,0.99,86,56,116,106,768,130,12
R8,test,526,0.99,38,21,84,76,768,68,12
R8,test,393,0.99,329,168,412,410,768,1681,12
R8,test,1403,0.99,79,55,116,107,768,130,12
R8,test,433,0.99,76,57,89,81,768,76,12
