test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9494668861804247,0.9364219129284854,0.0008016990274265075,14,37
0.9502293181413748,0.9428064679654398,0.0008085207181999848,21,38
0.9432983484920108,0.9386481703172191,0.0007939055050232329,4,39
0.947563897999368,0.9311218170821776,0.0007948073182549863,13,40
0.9483846868667412,0.9242189073037499,0.0007885315336357485,13,41
0.944319345882001,0.919790955865065,0.0007890754223107224,5,42
0.9548174898858579,0.9410049149779461,0.00078918199268605,11,43
0.9469135312456973,0.921637578931905,0.0008443346540983665,6,44
0.9449147729424262,0.916655427991165,0.0007896963312235444,15,45
0.9447761513125237,0.9334623907324268,0.0007929924176426418,9,46
