test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9014925373134328,0.9151515151515152,0.0014550572011008192,6,37
0.9313432835820895,0.9030303030303031,0.0014623421341625612,8,38
0.9044776119402985,0.8909090909090909,0.0014461104549578767,7,39
0.9104477611940298,0.8909090909090909,0.0014672969704243675,10,40
0.9283582089552239,0.8909090909090909,0.0014554429410108879,12,41
0.9283582089552239,0.9151515151515152,0.0014509898513110715,9,42
0.9104477611940298,0.8787878787878788,0.0014595579745164558,6,43
0.9194029850746268,0.896969696969697,0.00194384090936006,8,44
0.9134328358208955,0.896969696969697,0.0014632253504511135,9,45
0.9134328358208955,0.8787878787878788,0.001450189903600892,7,46
