test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.6206365408619182,0.6489236383042253,0.0003788075528462099,16,37
0.6140811897921971,0.6491276395651566,0.000369817998896959,17,38
0.6145971562338476,0.6426307616959122,0.0004379184358697288,17,39
0.6284656085984257,0.6423736854977008,0.0003714676455286155,16,40
0.6272540108488179,0.6407293169203195,0.00037341185085495716,16,41
0.6343196144254483,0.6677259162994283,0.00037006585278960406,16,42
0.6147616938728607,0.6472685173699293,0.0003687168388357264,15,43
0.6235435703598854,0.6300859749740293,0.00037259386814144795,16,44
0.6172179970414655,0.6447019921098177,0.00040293247016267024,15,45
0.6315516088098171,0.6539012031859137,0.0004019018980408847,16,46
