test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.3466853750919736,0.3778900308087112,0.2284960345764311,21,41
0.3525813673687805,0.3349336032268837,0.22644959408960336,28,37
0.43001465712586534,0.43195148576137404,0.22626642516836978,32,39
0.4053597070760754,0.43967176688515147,0.2261723057928281,31,44
0.4198167328128189,0.3706512051831068,0.22717823517549576,32,43
0.3863901101755937,0.4412036094079435,0.22643857965839698,43,38
0.5024589818167888,0.47224409195651573,0.2271600226615285,50,40
0.4328695930356385,0.4625644519461053,0.22657086587972403,50,42
0.36041515625603177,0.37439480338756764,0.22689463836911467,31,45
0.4450347163475665,0.4434555240457647,0.22663967773933796,59,46
