test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9294290847358487,0.961070931932734,0.017624494862117358,14,37
0.9365616369360401,0.95638011005148,0.017658070226757607,10,38
0.9331317742497292,0.9520996158185364,0.01749971436291206,12,39
0.9209769083371651,0.9582812047263354,0.017731944265028565,14,40
0.9226789886170199,0.9533021135480509,0.017705349378647525,10,41
0.9290912333776651,0.9565922006901991,0.01801639732998838,9,42
0.9384534294012801,0.9541528484565128,0.018140212762053184,13,43
0.9281270470889305,0.9286601349448054,0.017721389525562094,9,44
0.9490628532363204,0.954612885554242,0.01767108273067066,17,45
0.9393056217486379,0.9500532026747819,0.017666554083095493,9,46
