test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.620888636195926,0.6483721788205784,0.0017439786555771188,7,37
0.610259033050851,0.5976844050795104,0.001695142475178181,6,38
0.6207174876443342,0.6329157624838909,0.001716344214417455,7,39
0.5965845597108528,0.6254372145806698,0.0017017241371111384,5,40
0.6054232445222089,0.6109417647938077,0.0017085109581429564,5,41
0.6218614646107404,0.6652851218595449,0.0016955104524063764,8,42
0.6091492545499597,0.6285182545524639,0.001708272362651726,6,43
0.6155746026063182,0.6344579541516698,0.0017216596572728787,7,44
0.6161701540977799,0.6447982501146594,0.0017370907587489662,8,45
0.6190069583477953,0.6532224295819791,0.0017712506627552938,7,46
