SLURM NODE: kn068
[I 2026-02-05 10:32:40,584] A new study created in RDB with name: IMDb-Fine-tuning
[I 2026-02-05 17:00:15,610] Trial 22 finished with value: 0.9228 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 2.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 17:14:51,195] Trial 23 finished with value: 0.917 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 17:35:20,604] Trial 24 finished with value: 0.9304 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 2.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 17:35:21,020] Trial 25 pruned. Duplicate hyper-parameters, same as those used in trial 10: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 5e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}.
[I 2026-02-05 17:51:00,080] Trial 26 finished with value: 0.9008 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 18:05:39,134] Trial 27 finished with value: 0.9244 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 1.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 18:20:15,872] Trial 28 finished with value: 0.9248 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 3e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 18:34:54,949] Trial 29 finished with value: 0.9236 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 18:49:13,147] Trial 30 finished with value: 0.9202 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 1e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 19:07:16,603] Trial 31 finished with value: 0.9254 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.2, 'learning_rate': 3e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
