test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9374238917935195,0.9501075661810957,0.0015751588041952084,4,37
0.9432155663789397,0.9479141813709235,0.0015300350322125266,4,38
0.9354330471429639,0.9507446608183512,0.0015364726898740215,5,39
0.9381855324974473,0.9373095905158259,0.0015885145169339291,4,40
0.9421878763011562,0.9513110998802612,0.0015293535989217345,4,41
0.9346863476608006,0.969471941207948,0.0015294553036117743,4,42
0.9454557025227502,0.9579132473771682,0.0015329794838631432,4,43
0.9377457519467146,0.9513208608428072,0.0016107174696288577,3,44
0.9367715811737147,0.9448551958293678,0.0016228224638981151,3,45
0.9342900594115614,0.9456877875934155,0.0015327312152382151,5,46
