test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9014925373134328,0.8727272727272727,0.0012155253680146375,2,37
0.8955223880597015,0.8545454545454545,0.0012259458849966582,2,38
0.8686567164179104,0.8727272727272727,0.0012207131425873573,2,39
0.8865671641791045,0.8545454545454545,0.001270550417076417,2,40
0.9194029850746268,0.8666666666666667,0.0012244717413637818,2,41
0.9164179104477612,0.896969696969697,0.0012376519923561872,2,42
0.9343283582089552,0.8787878787878788,0.0012533836115419476,3,43
0.8656716417910447,0.8424242424242424,0.0012404729449559772,1,44
0.8507462686567164,0.8303030303030303,0.001424347987028063,2,45
0.8686567164179104,0.8484848484848485,0.0012445561135627755,1,46
