test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9423311683173543,0.9404136091512405,0.0018697812974595909,6,37
0.9484467215290421,0.9431074384686007,0.0013396273414008051,4,38
0.9421748463082125,0.952196816362784,0.0013035551249552116,2,39
0.9279687138882475,0.9442988733915016,0.0013866805344176806,6,40
0.9323210484107154,0.9424271032248883,0.0014112374193662649,3,41
0.9386553178287523,0.9601642065108841,0.001404525564728881,6,42
0.9267619978393098,0.9204564928193599,0.0012723078830636663,3,43
0.9295954984174108,0.9049463436712224,0.001300451223798793,3,44
0.9299508525343556,0.9443961660352641,0.0014616001138298346,3,45
0.9404183444966077,0.9638191988707703,0.001344671295129424,5,46
