test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.472851570542459,0.47602380648704523,0.12947537838277504,7,37
0.5456134943705442,0.5616821855120238,0.1292286536023076,12,38
0.4962042872178237,0.5258113743979862,0.12845182678294365,12,39
0.5247951647879109,0.5599848199007574,0.12889021073359533,13,42
0.4469287689684617,0.4360534925884962,0.12959865352584382,6,41
0.5754433074878048,0.6040536100937802,0.14868669406099247,23,40
0.5363996930248768,0.5722691167942792,0.12913274422984533,14,43
0.44321655379230807,0.4466159869391348,0.12834552152304846,9,45
0.5317394914098936,0.5312575255391712,0.1279177958205169,10,46
0.5276624641757622,0.5707836002088201,0.12921116147452935,16,44
